,words,surprisal,entropy,id,word_order,surprisal_new
618,seltsame,9.56627082824707,9.65262222290039,216,5,9.56627082824707
619,Frisur,9.310811970033683,7.913419594988227,216,6,9.310811970033683
620,Danach,24.45443344116211,8.896342277526855,54,1,
621,tut,12.867010116577148,9.225940704345703,54,2,12.867010116577148
622,eine,9.244946479797363,3.996192693710327,54,3,9.244946479797363
623,Wanderung,10.48648738861084,10.994364738464355,54,4,10.48648738861084
624,gut,3.2192673683166504,6.922198295593262,54,5,3.2192673683166504
625,Er,20.50890350341797,8.896342277526855,62,1,
626,gewinnt,13.483968734741211,10.31694507598877,62,2,13.483968734741211
627,sechs,10.32939624786377,7.898137092590332,62,3,10.32939624786377
628,Spiele,3.3115034103393555,7.388752460479736,62,4,3.3115034103393555
629,nacheinander,7.175304889678955,4.150445938110352,62,5,7.175304889678955
630,Ein,18.193517684936523,8.896342277526855,70,1,
631,Bauer,10.349708557128906,11.972281455993652,70,2,10.349708557128906
632,arbeitet,9.32158374786377,8.228032112121582,70,3,9.32158374786377
633,auf,4.162899971008301,6.293095588684082,70,4,4.162899971008301
634,seinem,4.699599742889404,5.858663082122803,70,5,4.699599742889404
635,Acker,2.8850600719451904,4.90427303314209,70,6,2.8850600719451904
636,Sie,18.278270721435547,8.896342277526855,88,1,
637,isst,13.443939208984375,7.353473663330078,88,2,13.443939208984375
638,kein,6.70699405670166,8.441743850708008,88,3,6.70699405670166
639,salziges,13.218497782945633,9.592968702316284,88,4,13.218497782945633
640,Gericht,3.883324384689331,6.2810750007629395,88,5,3.883324384689331
641,Im,18.795394897460938,8.896342277526855,47,1,
642,Geschäft,10.296730041503906,10.13779354095459,47,2,10.296730041503906
643,stehen,9.300557136535645,6.624570846557617,47,3,9.300557136535645
644,viele,5.877043724060059,9.161784172058105,47,4,5.877043724060059
645,Leute,7.35395622253418,10.505497932434082,47,5,7.35395622253418
646,Der,18.26059341430664,8.896342277526855,179,1,
647,Laptop,15.210901260375977,11.863557815551758,179,2,15.210901260375977
648,surft,18.29054093360901,8.522183656692505,179,3,18.29054093360901
649,schnell,10.18456745147705,6.871997356414795,179,4,10.18456745147705
650,im,4.99366569519043,4.811842441558838,179,5,4.99366569519043
651,Internet,1.27522873878479,4.1122565269470215,179,6,1.27522873878479
652,Der,18.26059341430664,8.896342277526855,247,1,
653,Postbote,13.966895580291748,19.37484312057495,247,2,13.966895580291748
654,liest,9.872869491577148,8.356805801391602,247,3,9.872869491577148
655,Gedichte,9.652458190917969,7.6874680519104,247,4,9.652458190917969
656,beim,11.092340469360352,4.169951438903809,247,5,11.092340469360352
657,Zustellen,12.354381084442139,14.349079847335815,247,6,12.354381084442139
658,Die,17.841373443603516,8.896342277526855,18,1,
659,Waschmaschine,14.726131439208984,12.353851318359375,18,2,14.726131439208984
660,summt,16.114666402339935,9.369134902954102,18,3,16.114666402339935
661,sanft,9.55604076385498,5.152376174926758,18,4,9.55604076385498
662,im,4.7532243728637695,5.625667095184326,18,5,4.7532243728637695
663,Hintergrund,3.707913398742676,8.244807243347168,18,6,3.707913398742676
