,phone,phone_surprisal,phone_entropy,word,target_id,word_order,phone_num
1328,n,4.472194570559206,0.000543824072513835,passanten,240,4,5
1329,t,-0.0,2.7514332890348616e-05,passanten,240,4,6
1330,ə,0.5006935838235523,2.7514332890348616e-05,passanten,240,4,7
1331,n,-0.0,1.9090943525454434e-05,passanten,240,4,8
1332,m,,,mit,240,5,1
1333,ɪ,2.0673748671952636,0.6236366443941769,mit,240,5,2
1334,t,0.9597259623144547,0.1243156913352566,mit,240,5,3
1335,ʔ,,,ihrer,240,6,1
1336,iː,4.441552447483955,2.2410487228891505,ihrer,240,6,2
1337,r,2.6055638471062212,0.1057635664117151,ihrer,240,6,3
1338,ɐ,2.909622077039138,0.02103378338873622,ihrer,240,6,4
1339,m,,,musik,240,7,1
1340,u,6.928887563224792,0.6236366443941769,musik,240,7,2
1341,z,0.7331323785543076,0.007281182149222782,musik,240,7,3
1342,iː,0.13684770209896427,0.003821747695236455,musik,240,7,4
1343,k,-0.0,0.0033483872679604793,musik,240,7,5
1344,h,,,heute,86,1,1
1345,ɔʏ,5.428461234782515,0.5464493382207486,heute,86,1,2
1346,t,0.15040141998945442,0.013064260805434054,heute,86,1,3
1347,ə,0.10410963328039256,0.010988619751388573,heute,86,1,4
1348,j,,,jeder,86,2,1
1349,eː,2.7416489998648372,0.1654357415985263,jeder,86,2,2
1350,d,1.0251467977792599,0.029190382048964326,jeder,86,2,3
1351,ɐ,1.5323318315858274,0.014485959769993501,jeder,86,2,4
1352,ʃ,,,strauss,86,3,1
1353,t,1.8671573854689671,0.40221135511294975,strauss,86,3,2
1354,r,3.213663562647911,0.11545039998874028,strauss,86,3,3
1355,aʊ,6.692980310410633,0.014298715656101066,strauss,86,3,4
1356,s,0.375802335995743,0.00015702992788534957,strauss,86,3,5
1357,b,,,blumen,86,4,1
1358,l,3.9078016381913145,0.4881120664797247,blumen,86,4,2
1359,uː,2.639230032868315,0.03574438181330258,blumen,86,4,3
1360,m,2.2732458612796904,0.006110663026332056,blumen,86,4,4
1361,ə,0.11804885376648537,0.0013035260105531848,blumen,86,4,5
1362,n,0.39131442247120757,0.001173772844883591,blumen,86,4,6
1363,ts,,,zwei,86,5,1
1364,v,3.7556236884543988,0.23052394940373788,zwei,86,5,2
1365,aɪ,0.6291236455064911,0.020983141169570264,zwei,86,5,3
1366,m,,,mark,86,6,1
1367,a,1.4574821523596948,0.6236366443941769,mark,86,6,2
1368,r,5.111898104713611,0.23393884405903678,mark,86,6,3
1369,k,1.9395600261575525,0.010914611886541508,mark,86,6,4
1370,d,,,das,135,1,1
1371,a,1.568021406641046,1.0747748069098002,das,135,1,2
1372,s,0.7875955269698235,0.35786564093554474,das,135,1,3
1373,ʔ,,,amtliche,135,2,1
1374,a,1.6357452193168687,2.2410487228891505,amtliche,135,2,2
1375,m,5.757870454780846,0.8533098065212363,amtliche,135,2,3
1376,t,5.6510786835622975,0.017840376178333228,amtliche,135,2,4
1377,l,3.7263183499666983,0.0005574151245587043,amtliche,135,2,5
1378,ɪ,-0.0,4.6584452408313814e-05,amtliche,135,2,6
1379,ç,-0.0,4.6584452408313814e-05,amtliche,135,2,7
1380,ə,1.5399750459478463,4.6584452408313814e-05,amtliche,135,2,8
1381,ʔ,,,amtsblatt,135,3,1
1382,a,1.6357452193168687,2.2410487228891505,amtsblatt,135,3,2
1383,m,5.757870454780846,0.8533098065212363,amtsblatt,135,3,3
1384,t,5.6510786835622975,0.017840376178333228,amtsblatt,135,3,4
1385,s,1.8940010838506443,0.0005574151245587043,amtsblatt,135,3,5
1386,b,6.03525732478633,0.00017189268214491617,amtsblatt,135,3,6
1387,l,1.5849625007211563,2.9109462941408903e-06,amtsblatt,135,3,7
1388,a,-0.0,9.973967099850879e-07,amtsblatt,135,3,8
1389,t,-0.0,9.973967099850879e-07,amtsblatt,135,3,9
1390,l,,,liegt,135,4,1
1391,iː,3.1386098204008417,0.2933054252628303,liegt,135,4,2
1392,k,3.3616537586755184,0.03397112833466343,liegt,135,4,3
1393,t,0.08972382291691969,0.0030716816512935214,liegt,135,4,4
1394,ʔ,,,überm,135,5,1
1395,yː,6.146345420212952,2.2410487228891505,überm,135,5,2
1396,b,0.01869762173341932,0.04831557929007424,überm,135,5,3
1397,ɐ,0.12118777150305644,0.047509541066515774,überm,135,5,4
1398,m,6.881978080695939,0.04326454652183623,überm,135,5,5
1399,d,,,durchschnitt,135,6,1
1400,ʊ,6.312077288392412,1.0747748069098002,durchschnitt,135,6,2
1401,ɐ,0.5220706238945186,0.02444820011456633,durchschnitt,135,6,3
1402,ç,0.058614426566180954,0.016429239391807886,durchschnitt,135,6,4
1403,ʃ,6.69514603293228,0.01563812439101674,durchschnitt,135,6,5
1404,n,0.6639681614759456,0.00021235542581578363,durchschnitt,135,6,6
1405,ɪ,-0.0,0.00013384004977617508,durchschnitt,135,6,7
1406,t,-0.0,0.00013384004977617508,durchschnitt,135,6,8
1407,d,,,diese,82,1,1
1408,iː,2.650458870553818,1.0747748069098002,diese,82,1,2
1409,z,2.278073519516338,0.15192714213886105,diese,82,1,3
1410,ə,0.3941922064328132,0.04469925592546884,diese,82,1,4
1411,d,,,durchsage,82,2,1
1412,ʊ,6.312077288392412,1.0747748069098002,durchsage,82,2,2
1413,ɐ,0.5220706238945186,0.02444820011456633,durchsage,82,2,3
1414,ç,0.058614426566180954,0.016429239391807886,durchsage,82,2,4
1415,z,4.773798654399639,0.01563812439101674,durchsage,82,2,5
1416,aː,2.6884874978812516,0.0006951216023914023,durchsage,82,2,6
1417,ɡ,-0.0,0.00011348622006170629,durchsage,82,2,7
1418,ə,-0.0,0.00011348622006170629,durchsage,82,2,8
1419,ʔ,,,ist,82,3,1
1420,ɪ,1.7669368568570172,2.2410487228891505,ist,82,3,2
1421,s,1.8490788045730608,0.4426033601596914,ist,82,3,3
1422,t,0.006391778380822532,0.11704460234851556,ist,82,3,4
1423,ʔ,,,ohne,82,4,1
1424,oː,5.517659855290922,2.2410487228891505,ohne,82,4,2
1425,n,3.181186895859951,0.05588854730960918,ohne,82,4,3
1426,ə,0.05533246425323783,0.006714764142603065,ohne,82,4,4
1427,ɡ,,,gewähr,82,5,1
1428,ə,1.2358954763659376,0.5701630781764331,gewähr,82,5,2
1429,v,3.7258160734615062,0.2621265528560844,gewähr,82,5,3
1430,ɛː,4.812915558497809,0.021517443295250384,gewähr,82,5,4
1431,ɐ,2.1998438809009033,0.0008383303131705185,gewähr,82,5,5
1432,ʔ,,,ein,224,1,1
1433,aɪ,3.2589403945646755,2.2410487228891505,ein,224,1,2
1434,n,0.06414877737699887,0.23716781735682246,ein,224,1,3
1435,m,,,musiker,224,2,1
1436,uː,8.741671481535295,0.6236366443941769,musiker,224,2,2
1437,z,2.4601560449848705,0.0024217561706303776,musiker,224,2,3
1438,ɪ,0.5674201993675496,0.0004556305715262724,musiker,224,2,4
1439,k,-0.0,0.0002982520352531855,musiker,224,2,5
1440,ɐ,0.7341560605793825,0.0002982520352531855,musiker,224,2,6
1441,f,,,verzaubert,224,3,1
1442,ɛ,1.9394424384642945,0.6355174497156335,verzaubert,224,3,2
1443,ɐ,0.15027091443936122,0.1912283684147088,verzaubert,224,3,3
1444,ts,5.678125762099161,0.1712606160493922,verzaubert,224,3,4
1445,aʊ,6.844709829171757,0.0034504368212680565,verzaubert,224,3,5
1446,b,-0.0,3.716313330207984e-05,verzaubert,224,3,6
1447,ɐ,-0.0,3.716313330207984e-05,verzaubert,224,3,7
1448,t,-0.0,3.716313330207984e-05,verzaubert,224,3,8
1449,d,,,die,224,4,1
1450,iː,2.650458870553818,1.0747748069098002,die,224,4,2
1451,m,,,menschenmenge,224,5,1
1452,ɛ,4.48227257466371,0.6236366443941769,menschenmenge,224,5,2
1453,n,1.1089641375858417,0.03724799320925937,menschenmenge,224,5,3
1454,ʃ,0.6667345983289741,0.016345045484041556,menschenmenge,224,5,4
1455,ə,0.7170885889565398,0.00994939632196336,menschenmenge,224,5,5
1456,n,0.0002432824003385671,0.00559578395826976,menschenmenge,224,5,6
1457,m,7.271630308355392,0.005593870408685604,menschenmenge,224,5,7
1458,ɛ,0.7307133848538677,6.429403604718323e-05,menschenmenge,224,5,8
1459,ŋ,0.03153557343310677,3.769419360627703e-05,menschenmenge,224,5,9
1460,ə,-0.0,3.669679689629194e-05,menschenmenge,224,5,10
1461,d,,,die,188,1,1
1462,iː,2.650458870553818,1.0747748069098002,die,188,1,2
1463,b,,,blumen,188,2,1
1464,l,3.9078016381913145,0.4881120664797247,blumen,188,2,2
1465,uː,2.639230032868315,0.03574438181330258,blumen,188,2,3
1466,m,2.2732458612796904,0.006110663026332056,blumen,188,2,4
1467,ə,0.11804885376648537,0.0013035260105531848,blumen,188,2,5
1468,n,0.39131442247120757,0.001173772844883591,blumen,188,2,6
1469,b,,,blühen,188,3,1
1470,l,3.9078016381913145,0.4881120664797247,blühen,188,3,2
1471,yː,6.451829647110537,0.03574438181330258,blühen,188,3,3
1472,ə,1.6264779889720138,0.0005327044058596422,blühen,188,3,4
1473,n,0.03234877769786043,0.00016752603518544327,blühen,188,3,5
1474,b,,,bunt,188,4,1
1475,ʊ,6.3189308444922725,0.4881120664797247,bunt,188,4,2
1476,n,3.6445645700157967,0.007973456652765984,bunt,188,4,3
1477,t,1.7167694882135105,0.0007440902649035593,bunt,188,4,4
1478,ʔ,,,im,188,5,1
1479,ɪ,1.7669368568570172,2.2410487228891505,im,188,5,2
1480,m,4.04787711445444,0.4426033601596914,im,188,5,3
1481,b,,,blumenkasten,188,6,1
1482,l,3.9078016381913145,0.4881120664797247,blumenkasten,188,6,2
1483,uː,2.639230032868315,0.03574438181330258,blumenkasten,188,6,3
