,words,phone,phone_order,wordnum,start_s,end_s,audibility,ids,filename
5263,schmilzt,ɪ,12,4,1.1371201814058958,1.1670975056689343,0.392578125,110,110.csv
5264,schmilzt,l,13,4,1.1671201814058958,1.3570975056689343,0.333984375,110,110.csv
5265,schmilzt,ts,14,4,1.3571201814058957,1.4370975056689343,0.10234375,110,110.csv
5266,schmilzt,t,15,4,1.4371201814058956,1.6470975056689343,0.2717013888888889,110,110.csv
5267,kommt,k,16,5,1.7271201814058956,1.8870975056689343,0.07734375,110,110.csv
5268,kommt,ɔ,17,5,1.8871201814058958,1.9670975056689342,0.33046875,110,110.csv
5269,kommt,m,18,5,1.9671201814058956,2.027097505668934,0.1982421875,110,110.csv
5270,kommt,t,19,5,2.0271201814058957,2.0570975056689345,0.30859375,110,110.csv
5271,der,d,20,6,2.0571201814058955,2.117097505668934,0.353515625,110,110.csv
5272,der,eː,21,6,2.1171201814058955,2.157097505668934,0.6328125,110,110.csv
5273,der,ɐ,22,6,2.1571201814058956,2.217097505668934,0.20703125,110,110.csv
5274,Frühling,f,23,7,2.2171201814058956,2.3170975056689342,0.22596153846153846,110,110.csv
5275,Frühling,r,24,7,2.3171201814058957,2.4370975056689343,0.2994791666666667,110,110.csv
5276,Frühling,yː,25,7,2.437120181405896,2.577097505668934,0.4162326388888889,110,110.csv
5277,Frühling,l,26,7,2.5771201814058955,2.637097505668934,0.1416015625,110,110.csv
5278,Frühling,ɪ,27,7,2.6371201814058955,2.7270975056689344,0.51953125,110,110.csv
5279,Frühling,ŋ,28,7,2.727120181405896,2.887097505668934,0.1703125,110,110.csv
5280,Die,d,1,1,0.0,0.03709750566893424,0.0140625,207,207.csv
5281,Die,iː,2,1,0.037120181405895694,0.16709750566893425,0.48575367647058826,207,207.csv
5282,Vögel,f,3,2,0.16712018140589568,0.33709750566893426,0.3430397727272727,207,207.csv
5283,Vögel,øː,4,2,0.33712018140589567,0.5370975056689342,0.518125,207,207.csv
5284,Vögel,ɡ,5,2,0.5371201814058957,0.6170975056689343,0.08203125,207,207.csv
5285,Vögel,ə,6,2,0.6171201814058956,0.7170975056689343,0.3016826923076923,207,207.csv
5286,Vögel,l,7,2,0.7171201814058957,0.8670975056689343,0.421875,207,207.csv
5287,umkreisten,ʔ,8,3,0.8671201814058956,0.9170975056689342,0.005580357142857143,207,207.csv
5288,umkreisten,ʊ,9,3,0.9171201814058957,1.0070975056689342,0.21809895833333334,207,207.csv
5289,umkreisten,m,10,3,1.0071201814058957,1.0970975056689343,0.16861979166666666,207,207.csv
5290,umkreisten,k,11,3,1.0971201814058957,1.1670975056689343,0.0859375,207,207.csv
5291,umkreisten,r,12,3,1.1671201814058958,1.2970975056689342,0.2757352941176471,207,207.csv
5292,umkreisten,aɪ,13,3,1.2971201814058957,1.4770975056689342,0.7483016304347826,207,207.csv
5293,umkreisten,s,14,3,1.4771201814058956,1.6270975056689343,0.3762335526315789,207,207.csv
5294,umkreisten,t,15,3,1.6271201814058958,1.7670975056689342,0.005642361111111111,207,207.csv
5295,umkreisten,ə,16,3,1.7671201814058957,1.8870975056689343,0.6473958333333333,207,207.csv
5296,umkreisten,n,17,3,1.8871201814058958,2.0570975056689345,0.10901988636363637,207,207.csv
5297,den,d,18,4,2.0571201814058955,2.1470975056689343,0.2688802083333333,207,207.csv
5298,den,eː,19,4,2.147120181405896,2.2270975056689344,0.55703125,207,207.csv
5299,den,n,20,4,2.227120181405896,2.3170975056689342,0.13606770833333334,207,207.csv
5300,Turm,t,21,5,2.3171201814058957,2.407097505668934,0.1484375,207,207.csv
5301,Turm,ʊ,22,5,2.4071201814058956,2.507097505668934,0.32992788461538464,207,207.csv
5302,Turm,ɐ,23,5,2.5071201814058957,2.6670975056689343,0.336328125,207,207.csv
5303,Turm,m,24,5,2.667120181405896,2.8570975056689343,0.0830078125,207,207.csv
5304,Unsere,ʔ,1,1,0.0,0.03709750566893424,0.1484375,099,099.csv
5305,Unsere,ʊ,2,1,0.037120181405895694,0.09709750566893424,1.0,099,099.csv
5306,Unsere,n,3,1,0.09712018140589569,0.13709750566893425,0.4296875,099,099.csv
5307,Unsere,z,4,1,0.13712018140589569,0.26709750566893425,0.23897058823529413,099,099.csv
5308,Unsere,ə,5,1,0.2671201814058957,0.30709750566893423,0.4875,099,099.csv
5309,Unsere,r,6,1,0.3071201814058957,0.36709750566893423,0.1083984375,099,099.csv
5310,Unsere,ə,7,1,0.3671201814058957,0.44709750566893425,0.17890625,099,099.csv
5311,Söhne,z,8,2,0.4471201814058957,0.5870975056689343,0.5785590277777778,099,099.csv
5312,Söhne,øː,9,2,0.5871201814058957,0.7570975056689342,0.6157670454545454,099,099.csv
5313,Söhne,n,10,2,0.7571201814058957,0.8470975056689343,0.5768229166666666,099,099.csv
5314,Söhne,ə,11,2,0.8471201814058957,1.0070975056689342,0.72265625,099,099.csv
5315,lieben,l,12,3,1.0071201814058957,1.1370975056689343,0.42233455882352944,099,099.csv
5316,lieben,iː,13,3,1.1371201814058958,1.2870975056689342,0.2611019736842105,099,099.csv
5317,lieben,b,14,3,1.2871201814058957,1.3170975056689342,0.013671875,099,099.csv
5318,lieben,ə,15,3,1.3171201814058957,1.3970975056689343,0.1984375,099,099.csv
5319,lieben,n,16,3,1.3971201814058958,1.4470975056689341,0.2935267857142857,099,099.csv
5320,flotte,f,17,4,1.4471201814058956,1.5470975056689342,0.12620192307692307,099,099.csv
5321,flotte,l,18,4,1.5471201814058957,1.6170975056689343,0.05381944444444445,099,099.csv
5322,flotte,ɔ,19,4,1.6171201814058958,1.6770975056689343,0.765625,099,099.csv
5323,flotte,t,20,4,1.6771201814058956,1.8070975056689342,0.42830882352941174,099,099.csv
5324,flotte,ə,21,4,1.8071201814058957,1.8770975056689343,0.1875,099,099.csv
