,word,word_order,start_s,end_s,audibility,ids,filename
851,Unserer,1,0.0,0.4870975056689342,0.3484887295081967,107,107.csv
852,Tante,2,0.4871201814058957,1.2070975056689341,0.4122395833333333,107,107.csv
853,fehlt,3,1.2071201814058956,1.6170975056689343,0.3544170673076923,107,107.csv
854,gar,4,1.6171201814058958,1.9370975056689343,0.34453125,107,107.csv
855,nichts,5,1.9371201814058956,2.487097505668934,0.358695652173913,107,107.csv
856,Das,1,0.0,0.22709750566893425,0.38873922413793105,023,023.csv
857,Telefon,2,0.22712018140589568,0.9670975056689343,0.3970934139784946,023,023.csv
858,klingelt,3,0.9671201814058957,1.5170975056689342,0.40115489130434784,023,023.csv
859,in,4,1.5171201814058957,1.6770975056689343,0.582421875,023,023.csv
860,der,5,1.6771201814058956,1.8070975056689342,0.33088235294117646,023,023.csv
861,stillen,6,1.8071201814058957,2.3770975056689343,0.3534071180555556,023,023.csv
862,Wohnung,7,2.3771201814058958,2.9370975056689343,0.55546875,023,023.csv
863,Der,1,0.0,0.11709750566893425,0.2864583333333333,058,058.csv
864,gelbe,2,0.1171201814058957,0.6370975056689342,0.30709134615384615,058,058.csv
865,Küchenofen,3,0.6371201814058957,1.6770975056689343,0.3583533653846154,058,058.csv
866,sorgt,4,1.6771201814058956,1.9970975056689342,0.1646484375,058,058.csv
867,für,5,1.9971201814058956,2.257097505668934,0.19010416666666666,058,058.csv
868,Wärme,6,2.2571201814058957,2.827097505668934,0.5329861111111112,058,058.csv
869,Sechs,1,0.01712018140589569,0.39709750566893426,0.2822265625,089,089.csv
870,Mädchen,2,0.39712018140589567,1.0470975056689342,0.4321646341463415,089,089.csv
871,wollen,3,1.0471201814058957,1.3970975056689343,0.2615411931818182,089,089.csv
872,Schwester,4,1.3971201814058958,2.027097505668934,0.37767009493670883,089,089.csv
873,werden,5,2.0271201814058957,2.5570975056689345,0.29244402985074625,089,089.csv
874,Ein,1,0.01712018140589569,0.24709750566893424,0.3510237068965517,217,217.csv
875,bunter,2,0.2471201814058957,0.7070975056689343,0.3247575431034483,217,217.csv
876,Schmetterling,3,0.7071201814058957,1.5570975056689342,0.3874123831775701,217,217.csv
877,tanzt,4,1.5571201814058957,2.117097505668934,0.3614955357142857,217,217.csv
878,im,5,2.1171201814058955,2.3370975056689343,0.32003348214285715,217,217.csv
879,Sonnenlicht,6,2.3371201814058957,3.2465759637188207,0.37863212719298245,217,217.csv
880,Diese,1,0.0,0.30709750566893423,0.28685897435897434,100,100.csv
881,Mannschaft,2,0.3071201814058957,1.0670975056689342,0.4743421052631579,100,100.csv
882,schoss,3,1.0671201814058957,1.4770975056689342,0.451171875,100,100.csv
883,gleich,4,1.4771201814058956,1.7670975056689342,0.40033783783783783,100,100.csv
884,drei,5,1.7671201814058957,2.157097505668934,0.24186862244897958,100,100.csv
885,Tore,6,2.1571201814058956,2.7470975056689344,0.39146959459459457,100,100.csv
